modalidad,raw_ramo,clean_ramo
Seguros Generales,Accidentes Personales,Accidentes Personales
Seguros Generales,Aeronavegación,Aeronavegación
Seguros Generales,Agropecuarios,Agropecuario
Seguros Generales,Automotores,Automotores
Seguros Generales,Incendio,Incendio y Aliados
Seguros Generales,Naves o Embarcaciones,Naves o Embarcaciones
Seguros Generales,Ramos Técnicos,Ramos Técnicos
Seguros Generales,Responsabilidad Civil,Responsabilidad Civil
Seguros Generales,Riesgos Varios Misceláneos,Riesgos Varios Misceláneos
Seguros Generales,Robo,Robo
Seguros Generales,Salud o Enfermedad,Salud o Enfermedad
Seguros Generales,Transportes,Transportes
Seguros Obligatorios,Accidentes de Construcción,Accidentes de construcción
Seguros Obligatorios,Accidentes de Tránsito,Accidentes de tránsito
Seguros Previsionales,Gastos Funerarios,Gastos Funerarios
Seguros Previsionales,Invalidez,Invalidez
Seguros Previsionales,Muerte,Muerte
Seguros Previsionales,Vitalicios,Seguros Vitalicios
Seguros de Fianzas,Buena Ejecución de Obra,Buena ejecución de obra
Seguros de Fianzas,Créditos,Créditos
Seguros de Fianzas,Cumplimiento de Obligaciones y/o Derechos Contractuales,Cumplimiento de Obligaciones Legales y Contractuales de Telecomunicaciones
Seguros de Fianzas,Cumplimiento de Obra,Cumplimiento de obra
Seguros de Fianzas,Cumplimiento de Servicios,Cumplimiento de servicios
Seguros de Fianzas,Cumplimiento de Suministros,Cumplimiento de suministros
Seguros de Fianzas,Fidelidad de Empleados,Fidelidad de empleados
Seguros de Fianzas,Garantia de Cumplimiento de Obligaciones Aduaneras,Cumplimiento de Obligaciones Aduaneras
Seguros de Fianzas,Garantía de Funcionamiento de Maquinaria y/o Equipo,Garantía de Funcionamiento de Maquinaria y/o Equipo
Seguros de Fianzas,Inversión de Anticipos,Inversión de anticipos
Seguros de Fianzas,Seriedad de Propuesta,Seriedad de propuesta
Seguros de Personas,Accidentes Personales,Accidentes personales
Seguros de Personas,Defunción y/o Sepelio de CP,Defunción o sepelio corto plazo
Seguros de Personas,Desgravamen Hipotecario CP,Desgravamen hipotecario corto plazo
Seguros de Personas,Rentas,Rentas
Seguros de Personas,Salud o Enfermedad,Salud o enfermedad
Seguros de Personas,Vida Individual CP,Vida Individual corto plazo
Seguros de Personas,Vida Individual LP,Vida individual largo plazo
Seguros de Personas,Vida en Grupo de CP,Vida en grupo corto plazo
Servicios de Pre-Pago,Salud o Enfermedad,Salud o enfermedad
