anio,mes_num,tasa
2004,3,7.88
2004,4,7.89
2004,5,7.9
2004,6,7.92
2004,7,7.93
2004,8,7.96
2004,9,7.98
2004,10,8.01
2004,11,8.02
2004,12,8.04
2005,1,8.05
2005,2,8.06
2005,3,8.08
2005,4,8.08
2005,5,8.08
2005,6,8.08
2005,7,8.05
2005,8,8.03
2005,9,8.02
2005,10,8.0
2005,11,8.0
2005,12,8.0
2006,1,8.0
2006,2,7.99
2006,3,7.97
2006,4,7.96
2006,5,7.96
2006,6,7.96
2006,7,7.96
2006,8,7.95
2006,9,7.95
2006,10,7.95
2006,11,7.95
2006,12,7.93
2007,1,7.91
2007,2,7.89
2007,3,7.89
2007,4,7.89
2007,5,7.87
2007,6,7.85
2007,7,7.77
2007,8,7.71
2007,9,7.71
2007,10,7.67
2007,11,7.63
2007,12,7.57
2008,1,7.53
2008,2,7.49
2008,3,7.4
2008,4,7.3
2008,5,7.21
2008,6,7.12
2008,7,7.04
2008,8,7.01
2008,9,6.99
2008,10,6.97
2008,11,6.97
2008,12,6.97
2009,1,6.97
2009,2,6.97
2009,3,6.97
2009,4,6.97
2009,5,6.97
2009,6,6.97
2009,7,6.97
2009,8,6.97
2009,9,6.97
2009,10,6.97
2009,11,6.97
2009,12,6.97
2010,1,6.97
2010,2,6.97
2010,3,6.97
2010,4,6.97
2010,5,6.97
2010,6,6.97
2010,7,6.97
2010,8,6.97
2010,9,6.97
2010,10,6.97
2010,11,6.96
2010,12,6.94
2011,1,6.94
2011,2,6.92
2011,3,6.9
2011,4,6.89
2011,5,6.89
2011,6,6.88
2011,7,6.87
2011,8,6.87
2011,9,6.87
2011,10,6.87
2011,11,6.86
2011,12,6.86
2012,1,6.86
2012,2,6.86
2012,3,6.86
2012,4,6.86
2012,5,6.86
2012,6,6.86
2012,7,6.86
2012,8,6.86
2012,9,6.86
2012,10,6.86
2012,11,6.86
2012,12,6.86
2013,1,6.86
2013,2,6.86
2013,3,6.86
2013,4,6.86
2013,5,6.86
2013,6,6.86
2013,7,6.86
2013,8,6.86
2013,9,6.86
2013,10,6.86
2013,11,6.86
2013,12,6.86
2014,1,6.86
2014,2,6.86
2014,3,6.86
2014,4,6.86
2014,5,6.86
2014,6,6.86
2014,7,6.86
2014,8,6.86
2014,9,6.86
2014,10,6.86
2014,11,6.86
2014,12,6.86
2015,1,6.86
2015,2,6.86
2015,3,6.86
2015,4,6.86
2015,5,6.86
2015,6,6.86
2015,7,6.86
2015,8,6.86
2015,9,6.86
2015,10,6.86
2015,11,6.86
2015,12,6.86
2016,1,6.86
2016,2,6.86
2016,3,6.86
2016,4,6.86
2016,5,6.86
2016,6,6.86
2016,7,6.86
2016,8,6.86
2016,9,6.86
2016,10,6.86
2016,11,6.86
2016,12,6.86
2017,1,6.86
2017,2,6.86
2017,3,6.86
2017,4,6.86
2017,5,6.86
2017,6,6.86
2017,7,6.86
2017,8,6.86
2017,9,6.86
2017,10,6.86
2017,11,6.86
2017,12,6.86
2018,1,6.86
2018,2,6.86
2018,3,6.86
2018,4,6.86
2018,5,6.86
2018,6,6.86
2018,7,6.86
2018,8,6.86
2018,9,6.86
2018,10,6.86
2018,11,6.86
2018,12,6.86
2019,1,6.86
2019,2,6.86
2019,3,6.86
2019,4,6.86
2019,5,6.86
2019,6,6.86
2019,7,6.86
2019,8,6.86
2019,9,6.86
2019,10,6.86
2019,11,6.86
2019,12,6.86
2020,1,6.86
2020,2,6.86
2020,3,6.86
2020,4,6.86
2020,5,6.86
2020,6,6.86
2020,7,6.86
2020,8,6.86
2020,9,6.86
2020,10,6.86
2020,11,6.86
2020,12,6.86
2021,1,6.86
2021,2,6.86
2021,3,6.86
2021,4,6.86
2021,5,6.86
2021,6,6.86
2021,7,6.86
2021,8,6.86
2021,9,6.86
2021,10,6.86
2021,11,6.86
2021,12,6.86
2022,1,6.86
2022,2,6.86
2022,3,6.86
2022,4,6.86
2022,5,6.86
2022,6,6.86
2022,7,6.86
2022,8,6.86
2022,9,6.86
2022,10,6.86
2022,11,6.86
2023,1,6.86
2023,2,6.86
2023,3,6.86
2023,4,6.86
2023,5,6.86
2023,6,6.86
2023,7,6.86
2023,8,6.86
2023,9,6.86
2023,10,6.86
2023,11,6.86
2023,12,6.86
2024,1,6.86
2024,2,6.86
2024,3,6.86
2024,4,6.86
2024,5,6.86
2024,6,6.86
2024,7,6.86
2024,8,6.86
2024,9,6.86
2024,10,6.86
2024,11,6.86
2024,12,6.86
2025,1,6.86
2025,2,6.86
2025,3,6.86
2025,4,6.86
2025,5,6.86
2025,6,6.86
2025,7,6.86
2025,8,6.86
2025,9,6.86
2025,10,6.86
2025,11,6.86
2025,12,6.86
2026,1,6.86
2026,2,6.86
2026,3,6.86
2026,4,6.86
2026,5,6.86
