Nro,Codigo Spim,Report,Report_code,Transformaciones,csv-salida
1,S_BOAPS_44_000620,Producción Directa Neta de Anulaciones por Entidad Aseguradora La Paz,D_BO_000000447_01,"T1, T2, T3, T4, T6, T7, T8, T9, T10, T11",\\10.0.0.11\CSV\158
2,S_BOAPS_44_000620,Producción Directa Neta de Anulaciones por Entidad Aseguradora Cochabamba,D_BO_000000447_02,"T1, T2, T3, T4, T6, T7, T8, T9, T10, T11",\\10.0.0.11\CSV\158
3,S_BOAPS_44_000620,Producción Directa Neta de Anulaciones por Entidad Aseguradora Santa Cruz,D_BO_000000447_03,"T1, T2, T3, T4, T6, T7, T8, T9, T10, T11",\\10.0.0.11\CSV\158
4,S_BOAPS_44_000620,Producción Directa Neta de Anulaciones por Entidad Aseguradora Oruro,D_BO_000000447_04,"T1, T2, T3, T4, T6, T7, T8, T9, T10, T11",\\10.0.0.11\CSV\158
5,S_BOAPS_44_000620,Producción Directa Neta de Anulaciones por Entidad Aseguradora Potosi,D_BO_000000447_05,"T1, T2, T3, T4, T6, T7, T8, T9, T10, T11",\\10.0.0.11\CSV\158
6,S_BOAPS_44_000620,Producción Directa Neta de Anulaciones por Entidad Aseguradora Tarija,D_BO_000000447_06,"T1, T2, T3, T4, T6, T7, T8, T9, T10, T11",\\10.0.0.11\CSV\158
7,S_BOAPS_44_000620,Producción Directa Neta de Anulaciones por Entidad Aseguradora Chuquisaca,D_BO_000000447_07,"T1, T2, T3, T4, T6, T7, T8, T9, T10, T11",\\10.0.0.11\CSV\158
8,S_BOAPS_44_000620,Producción Directa Neta de Anulaciones por Entidad Aseguradora Pando,D_BO_000000447_08,"T1, T2, T3, T4, T6, T7, T8, T9, T10, T11",\\10.0.0.11\CSV\158
9,S_BOAPS_44_000620,Producción Directa Neta de Anulaciones por Entidad Aseguradora Beni,D_BO_000000447_09,"T1, T2, T3, T4, T6, T7, T8, T9, T10, T11",\\10.0.0.11\CSV\158
10,S_BOAPS_44_000620,Siniestros Directos por Entidad Aseguradora La Paz,D_BO_000000447_10,"T1, T2, T3, T4, T6, T7, T8, T9, T10, T11",\\10.0.0.11\CSV\158
11,S_BOAPS_44_000620,Siniestros Directos por Entidad Aseguradora Cochabamba,D_BO_000000447_11,"T1, T2, T3, T4, T6, T7, T8, T9, T10, T11",\\10.0.0.11\CSV\158
12,S_BOAPS_44_000620,Siniestros Directos por Entidad Aseguradora Santa Cruz,D_BO_000000447_12,"T1, T2, T3, T4, T6, T7, T8, T9, T10, T11",\\10.0.0.11\CSV\158
13,S_BOAPS_44_000620,Siniestros Directos por Entidad Aseguradora Oruro,D_BO_000000447_13,"T1, T2, T3, T4, T6, T7, T8, T9, T10, T11",\\10.0.0.11\CSV\158
14,S_BOAPS_44_000620,Siniestros Directos por Entidad Aseguradora Potosi,D_BO_000000447_14,"T1, T2, T3, T4, T6, T7, T8, T9, T10, T11",\\10.0.0.11\CSV\158
15,S_BOAPS_44_000620,Siniestros Directos por Entidad Aseguradora Tarija,D_BO_000000447_15,"T1, T2, T3, T4, T6, T7, T8, T9, T10, T11",\\10.0.0.11\CSV\158
16,S_BOAPS_44_000620,Siniestros Directos por Entidad Aseguradora Chuquisaca,D_BO_000000447_16,"T1, T2, T3, T4, T6, T7, T8, T9, T10, T11",\\10.0.0.11\CSV\158
17,S_BOAPS_44_000620,Siniestros Directos por Entidad Aseguradora Pando,D_BO_000000447_17,"T1, T2, T3, T4, T6, T7, T8, T9, T10, T11",\\10.0.0.11\CSV\158
18,S_BOAPS_44_000620,Siniestros Directos por Entidad Aseguradora Beni,D_BO_000000447_18,"T1, T2, T3, T4, T6, T7, T8, T9, T10, T11",\\10.0.0.11\CSV\158
19,S_BOAPS_44_000621,Intermediación de Corredores de Reaseguro - Conesa Kieffer & Asociados Corredores de Reaseguros S.A.,D_BO_000000447_19,"T1, T3, T4, T7, T8, T9, T10, T12",\\10.0.0.11\CSV\253
20,S_BOAPS_44_000621,Intermediación de Corredores de Reaseguro - Iberam Re Corredores Internacionales de Reaseguros S.A,D_BO_000000447_20,"T1, T3, T4, T7, T8, T9, T10, T12",\\10.0.0.11\CSV\253
21,S_BOAPS_44_000621,Intermediación de Corredores de Reaseguro - Olsa Bolivia Corredores de Reaseguros S.A.,D_BO_000000447_21,"T1, T3, T4, T7, T8, T9, T10, T12",\\10.0.0.11\CSV\253
22,S_BOAPS_44_000621,"Intermediación de Corredores de Reaseguro - Universal Brokers Re S.A. Corredores de Reaseguros ""Unibrosa Re""",D_BO_000000447_22,"T1, T3, T4, T7, T8, T9, T10, T12",\\10.0.0.11\CSV\253
23,S_BOAPS_44_000621,"Intermediación de Corredores de Reaseguro - Risk Reinsurance Broker S.A. ""Risk Re S.A""",D_BO_000000447_23,"T1, T3, T4, T7, T8, T9, T10, T12",\\10.0.0.11\CSV\253
24,S_BOAPS_44_000621,Intermediación de Corredores de Reaseguro - Krings Reinsurance Brokers S.A.,D_BO_000000447_24,"T1, T3, T4, T7, T8, T9, T10, T12",\\10.0.0.11\CSV\253
