Fuente,Codigo-Cubo,Nombre,Estado,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16
APS,S_BOAPS_44_000620,Producción Directa Neta de Anulación y Siniestros Directos por Entidad Aseguradora y Departamento,Analizado,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,,,,
APS,S_BOAPS_44_000621,Intermediación de Corredores de Reaseguro,Analizado,✓,,✓,✓,,,✓,✓,✓,✓,,✓,,,,
APS,S_BOSPVS46_000251,Producción y Siniestros por Modalidad y Ramo,Analizado,✓,,,✓,,,✓,✓,✓,✓,,✓,✓,,,
APS,S_BOSPVS66_000253,Producción/Siniestros Directos por Modalidad y Ramo,Analizado,✓,,✓,✓,,,✓,✓,✓,✓,✓,✓,,,,
APS,S_BOSPVS66_000254,Producción y Siniestros por Modalidad y Ramo y Compañía,Analizado,✓,,,✓,,,✓,✓,✓,✓,,✓,,✓,,
APS,S_BOSPVS66_000260,Intermediación de Corredores de Seguros por Entidad Aseguradora,Analizado,,,✓,✓,,,✓,✓,✓,✓,,✓,,,,
APS,S_BOSPVS66_000261,Intermediación de Corredores de Seguros por Modalidad y Ramo,Analizado,,,✓,✓,,,✓,✓,✓,✓,,✓,,,,
APS,SPIM_0166_PSMR,Producción y Siniestros por Modalidad y Ramo,Pendiente,,,,,,,,,,,,,,,,
APS,SPIM_0170_PSCS,Producción y Siniestros por Tipo de Seguros y Compañía - Detallado (Acumulados),Analizado,,,✓,✓,,,✓,,✓,✓,,✓,,,,✓
APS,SPIM_0201_BGCSGF,Balance General Entidades de Seguros Generales y Fianzas,Analizado,,,✓,✓,,,✓,✓,✓,✓,,✓,,,,
APS,SPIM_0202_ERCSGF,Estado de Resultados Entidades de Seguros Generales y Fianzas,Analizado,,,✓,✓,,,✓,✓,✓,✓,,✓,,,,✓
APS,SPIM_0203_BGCSP,Balance General Entidades de Seguros de Personas,Analizado,,,✓,✓,,,✓,✓,✓,✓,,✓,,,,
APS,SPIM_0204_ERCSP,Estado de Resultados Entidades de Seguros de Personas,Analizado,,,✓,✓,,,✓,✓,✓,✓,,✓,,,,✓
APS,S_BOAPS_66_000655; SPIM_0027_VS,Penetración del SOAT a Nivel Nacional Por Departamento,Pendiente,,,,,,,,,,,,,,,,
ADA,S_BOADA_11_000730,Precios Referenciales del Pollo,Analizado,✓,✓,,✓,,,✓,✓,✓,✓,,,,,✓,
ADUANA,S_BO_AN_44_000344,Recaudación Ordinaria Según Impuesto,Analizado,,✓,,✓,,,✓,,,✓,,✓,,,,
