Fuente,Codigo-Cubo,Nombre,D.B. code,report_code,report_name,Path CSV,Estado,Transformaciones,Observaciones
APS,S_BOAPS_44_000620,Producción Directa Neta de Anulación y Siniestros Directos por Entidad Aseguradora y Departamento,DB_BO_000003,D_BO_000000447_01 a 18,"(18 reportes, uno por departamento x Producción/Siniestros)",158,Analizado,"T1,T2,T3,T4,T6,T7,T8,T9,T10,T11,T12",
APS,S_BOAPS_44_000621,Intermediación de Corredores de Reaseguro,DB_BO_000004,D_BO_000000447_19 a 24,"(6 reportes, uno por corredor)",253,Analizado,"T1,T3,T4,T7,T8,T9,T10,T12",
APS,S_BOSPVS46_000251,Producción y Siniestros por Modalidad y Ramo,DB_BO_000005,D_BO_000000447_25,Producción y Siniestros por Modalidad y Ramo (nacional),207,Analizado,"T1,T4,T7,T8,T9,T10,T12,T13",
APS,S_BOSPVS66_000253,Producción/Siniestros Directos por Modalidad y Ramo,DB_BO_000006,D_BO_000000447_26 a 27,"(2 reportes, Producción y Siniestros)",182,Analizado,"T1,T3,T4,T7,T8,T9,T10,T11,T12",
APS,S_BOSPVS66_000254,Producción y Siniestros por Modalidad y Ramo y Compañía,DB_BO_000007,D_BO_000000447_28 a 46,"(19 reportes, uno por compañía)",205,Analizado,"T1,T4,T7,T8,T9,T10,T12,T14",
APS,S_BOSPVS66_000260,Intermediación de Corredores de Seguros por Entidad Aseguradora,DB_BO_000008,D_BO_000000447_47,Intermediación de Corredores de Seguros por Entidad Aseguradora,189,Analizado,"T3,T4,T7,T8,T9,T10,T12","Sin discrepancias en el total (934/934 filas validadas Abr-May 2024 usando el monto como llave, ya que ~7 pares corredor/código comparten el mismo monto exacto en el mismo mes y no se pueden distinguir solo por valor — no afecta el total, sí la trazabilidad fila a fila de esos casos puntuales). Confirma en vivo la anomalía ya documentada NAL-P(fuente)->NAL-V(resultado). Nuevo patrón en T12: montos negativos vienen en notación contable con paréntesis, ej. '(1.630)' -> -1630. Nombres de corredores se acortan/normalizan vs. el nombre legal completo de la fuente (mismo catálogo que S_BOSPVS66_000261)."
APS,S_BOSPVS66_000261,Intermediación de Corredores de Seguros por Modalidad y Ramo,DB_BO_000009,D_BO_000000447_48 a 49,(2 reportes),186,Analizado,"T3,T4,T7,T8,T9,T10,T12","Sin discrepancias en el total (1241/1241 filas validadas Abr-May 2024, mismo método de validación por monto que S_BOSPVS66_000260, mismas colisiones puntuales de monto entre 2 códigos que no afectan el total). Concatena 2 reportes fuente (_48: Fianzas+Personas, _49: Generales+Obligatorios+Prepago) en la columna 'Tipo de Seguro'. Catálogo de Ramo mayormente 1 a 1, con excepciones: APE-SG->APE, SEN-SG->SEN, 'Soatc (3)'->SOATC (se limpia la nota al pie '(3)'). Reutiliza el mismo catálogo de nombres de corredores que S_BOSPVS66_000260."
APS,SPIM_0166_PSMR,Producción y Siniestros por Modalidad y Ramo,DB_BO_000010,D_BO_000000447_50,Producción y Siniestros por Modalidad y Ramo,188,Pendiente,,
APS,SPIM_0170_PSCS,Producción y Siniestros por Tipo de Seguros y Compañía - Detallado (Acumulados),DB_BO_000011,D_BO_000000447_51 a 52,(2 reportes: Generales y Fianzas / Personas),169,Analizado,"T3,T4,T7,T9,T10,T12,T16","964/965 filas validadas (Nov 2025-Ene 2026, ambos reportes _51+_52) usando Entidad+monto como llave. 1 anomalía puntual real: Nacional Seguros Vida y Salud S.A., 'Siniestros por Reaseguro Aceptado', Enero 2026 -> el CSV final trae Monto US$=1,000 pero la celda fuente está vacía (sin valor). Único caso en todo el rango revisado, no reportar como patrón. La fuente en 'nv1' trae un solo campo (ej. 'Producción Directa Neta Anulaciones') que en el resultado se separa en DOS columnas: 'Tipo Prod Siniestro' (Producción/Siniestros) + 'Modalidad Prod Siniestro' (con letra de fórmula agregada, ej. 'Directa Neta de Anulaciones (a)'). A diferencia de otros cubos de Producción/Siniestros ya vistos (T13/T14), aquí NINGÚN 'hecho' se descarta ni cambia de signo — los 5 componentes (incl. los que son sumas de otros) se mantienen como 5 valores de la columna categórica, cada uno con su propio 'orden Modalidad Prod Siniestro' (T16, catálogo 1-5, se repite igual para Producción y para Siniestros)."
APS,SPIM_0201_BGCSGF,Balance General Entidades de Seguros Generales y Fianzas,DB_BO_000012,D_BO_000000447_53,Balance General Entidades de Seguros Generales y Fianzas,172,Analizado,"T3,T4,T7,T8,T9,T10,T12","939 filas con valor real + 11 filas con ""0"" literal (=950/950 exacto) validadas Oct/Nov 2025 y Abr/May 2026. Hallazgo clave: el texto '0' explícito en la fuente SÍ se mantiene como fila con Monto Bs=0 en el resultado (solo para las cuentas [307],[603],[703] en esta muestra), mientras que '-' (sin dato) se descarta por completo — no es la misma regla, no tratar '0' como sinónimo de '-'. 'DETALLE' fuente trae el código entre corchetes ya embebido (ej. '[101] Disponible'): se separa por texto en 'orden Cuenta Nv 2' (número) + 'Cuenta Nv 2' (texto), sin necesitar catálogo externo (a diferencia de T16 clásico)."
APS,SPIM_0202_ERCSGF,Estado de Resultados Entidades de Seguros Generales y Fianzas,DB_BO_000013,D_BO_000000447_54,Estado de Resultados Entidades de Seguros Generales y Fianzas,185,Analizado,"T3,T4,T7,T8,T9,T10,T12,T16","~1596/1591 filas validadas (colisiones de valor menores, no afectan cobertura). A diferencia de S_BOSPVS66_000201 (Balance General), aquí SÍ hace falta un catálogo externo real para 'orden Cuenta' (T16): incluye también las filas de subtotal (ej. 'PRODUCCIÓN NETA DE ANULACIÓN', 'RESULTADO TECNICO BRUTO') con su propio número de orden dentro de la misma secuencia 1-54, y esas filas de subtotal en el resultado se escriben en MAYÚSCULAS mientras las líneas de detalle quedan en Título/oración — mismo patrón que S_BOFINR44_00387 (Indicadores Financieros). ANOMALÍA REAL: para FOR (Abril 2026), 'Resultado Técnico Bruto'=(61.013) y 'Resultado Operacional'=(69) vienen en negativo (pérdida) en la fuente, pero el CSV final los guarda en positivo (61,013,000 y 69,000) — se pierde el signo. Solo 2 celdas de esta muestra; no se repite en las demás compañías/meses revisados de este cubo."
APS,SPIM_0203_BGCSP,Balance General Entidades de Seguros de Personas,DB_BO_000014,D_BO_000000447_55,Balance General Entidades de Seguros de Personas,206,Analizado,"T3,T4,T7,T8,T9,T10,T12","708/711 filas validadas (Oct/Nov 2025, Abr/May 2026) con el mismo patrón de '0' literal vs '-' que S_BOSPVS66_000201 (aquí las cuentas que se mantienen en 0 son [207] y [305], no las mismas que en Generales/Fianzas — confirma que la cuenta 'siempre visible' no es fija entre cubos). Mismo catálogo de compañías de Personas ya visto (ALI-P->ALI-V, LVI-P->LVI, NAL-P se queda NAL-P aquí — distinto de NAL-P->NAL-V en el cubo de corredores, confirma que no hay regla universal entre cubos). ANOMALÍA REAL (mismo patrón que SPIM_0202_ERCSGF): LVI, 'Resultados de Gestiones Anteriores', Abril 2026 = (75.129) en la fuente -> 75,129,000 positivo en el resultado; SC-P, mismas cuentas [307] y [308], incluso doble caso. Total 3 celdas con signo perdido en esta muestra."
