raw_ramo,clean_ramo
Accidentes Personales,Accidentes Personales
Automotores,Automotores
Ramos Técnicos,Ramos Técnicos
Responsabilidad Civil,Responsabilidad Civil
Incendio,Incendio y Aliados
Salud o Enfermedad,Salud o Enfermedad
Transportes,Transportes
Riesgos Varios Misceláneos,Riesgos Varios Misceláneos
Vida Individual CP,Vida Individual corto plazo
Buena Ejecución de Obra,Buena ejecución de obra
Vida Individual LP,Vida individual largo plazo
Cumplimiento de Servicios,Cumplimiento de servicios
Vida en Grupo de CP,Vida en grupo corto plazo
Cumplimiento de Obra,Cumplimiento de obra
Cumplimiento de Suministros,Cumplimiento de suministros
Seriedad de Propuesta,Seriedad de propuesta
Inversión de Anticipos,Inversión de anticipos
Desgravamen Hipotecario CP,Desgravamen hipotecario corto plazo
Fidelidad de Empleados,Fidelidad de empleado
Aeronavegación,Aeronavegación
Garantia de Cumplimiento de Obligaciones Aduaneras,Cumplimiento de Obligaciones Aduaneras
Robo,Robo
Defunción y/o Sepelio de CP,Defunción o sepelio corto plazo
Naves o Embarcaciones,Naves o Embarcaciones
Créditos,Créditos
Agropecuarios,Agropecuario
Rentas,Rentas
Accidentes de Tránsito,Accidentes de tránsito
Garantía de Funcionamiento de Maquinaria y/o Equipo,Garantía de Funcionamiento de Maquinaria y/o Equipo
Accidentes de Construcción,Accidentes de construcción
Vitalicios,Vitalicios
Gastos Funerarios,Gastos Funerarios
Muerte,Muerte
Invalidez,Invalidez
Riesgo Común,Riesgo común
