raw_code,clean_code,tipo_compania
ALI-G,ALI,Seguros Generales y Fianzas
ALI-P,ALI-V,Seguros de Personas
BIS-G,BIS,Seguros Generales y Fianzas
BUP-P,BUP-P,Seguros de Personas
CRE-G,CRI,Seguros Generales y Fianzas
CRS-G,CRS-G,Seguros Generales y Fianzas
CRS-P,CRS-P,Seguros de Personas
FOR-G,FOR,Seguros Generales y Fianzas
FOR-P,FOR-P,Seguros de Personas
ILL-G,ILL,Seguros Generales y Fianzas
LBC-G,LBC-G,Seguros Generales y Fianzas
LBC-P,LBC-P,Seguros de Personas
LVI-P,LVI,Seguros de Personas
MSC-G,MSC-G,Seguros Generales y Fianzas
NAL-G,NAL-G,Seguros Generales y Fianzas
NAL-P,NAL-V,Seguros de Personas
SC-P,SC-P,Seguros de Personas
UNI-G,UNI-G,Seguros Generales y Fianzas
UNI-P,UNI-P,Seguros de Personas
